
MONTH,ENTITY,PRODUCT_NAME,TOTAL_CUSTOMERS,CHURNED_CUSTOMERS,CHURN_RATE,MEDIAN_PRICE
2019-06-01,zervant,pro,4442,132,0.029716,15
2019-06-01,zervant,starter,4265,199,0.046659,7
2019-07-01,billy,annual report,42,0,0.000000,220
2019-07-01,billy,subscription,11750,270,0.022979,22
2019-07-01,salary,basic,739,57,0.077131,3
2019-07-01,zervant,custom,2,0,0.000000,210
2019-07-01,zervant,growth,154,4,0.025974,35
2019-07-01,zervant,merchant,28,1,0.035714,75
2019-07-01,zervant,pro,4573,139,0.030396,15
2019-07-01,zervant,starter,4470,207,0.046309,7
2019-08-01,billy,annual report,8,0,0.000000,220
2019-08-01,billy,subscription,11871,223,0.018785,22
2019-08-01,salary,basic,764,51,0.066754,3
2019-08-01,zervant,custom,2,0,0.000000,210
2019-08-01,zervant,growth,169,12,0.071006,35
2019-08-01,zervant,merchant,28,2,0.071429,75
2019-08-01,zervant,pro,4627,170,0.036741,15
2019-08-01,zervant,starter,4544,448,0.098592,7
2019-09-01,billy,annual report,6,0,0.000000,221
2019-09-01,billy,subscription,12597,411,0.032627,22
2019-09-01,salary,basic,820,51,0.062195,3
2019-09-01,zervant,custom,2,0,0.000000,210
2019-09-01,zervant,growth,181,3,0.016575,35
2019-09-01,zervant,merchant,51,12,0.235294,75
2019-09-01,zervant,pro,4863,143,0.029406,15
2019-09-01,zervant,starter,5923,319,0.053858,7
2019-10-01,billy,annual report,10,0,0.000000,220
2019-10-01,billy,subscription,12420,217,0.017472,22
2019-10-01,salary,basic,852,71,0.083333,3
2019-10-01,zervant,custom,4,0,0.000000,110
2019-10-01,zervant,growth,193,11,0.056995,35
2019-10-01,zervant,merchant,31,2,0.064516,75
2019-10-01,zervant,pro,5185,138,0.026615,15
2019-10-01,zervant,starter,6252,277,0.044306,8
2019-11-01,billy,annual report,19,0,0.000000,220
2019-11-01,billy,subscription,12502,227,0.018157,22
2019-11-01,salary,basic,860,60,0.069767,5
2019-11-01,zervant,custom,2,0,0.000000,210
2019-11-01,zervant,growth,189,4,0.021164,35
2019-11-01,zervant,merchant,26,1,0.038462,75
2019-11-01,zervant,pro,5550,155,0.027928,15
2019-11-01,zervant,starter,5332,232,0.043511,8
2019-12-01,billy,annual report,127,0,0.000000,220
2019-12-01,billy,subscription,12751,360,0.028233,22
2019-12-01,salary,basic,894,86,0.096197,4
2019-12-01,zervant,custom,2,0,0.000000,290
2019-12-01,zervant,growth,208,10,0.048077,35
2019-12-01,zervant,merchant,29,3,0.103448,75
2019-12-01,zervant,pro,5735,149,0.025981,15
2019-12-01,zervant,starter,5532,228,0.041215,8
2020-01-01,advisor,advisor,392,59,0.150510,420
2020-01-01,billy,annual report,232,0,0.000000,220
2020-01-01,billy,subscription,12766,423,0.033135,22
2020-01-01,salary,basic,953,71,0.074502,3
2020-01-01,tellow,basis,1,0,0.000000,8
2020-01-01,zervant,custom,3,0,0.000000,110
2020-01-01,zervant,growth,214,14,0.065421,35
2020-01-01,zervant,merchant,24,0,0.000000,75
2020-01-01,zervant,pro,5926,192,0.032400,15
2020-01-01,zervant,starter,5658,267,0.047190,8
2020-02-01,advisor,advisor,401,60,0.149626,404
2020-02-01,billy,annual report,218,0,0.000000,220
2020-02-01,billy,subscription,12703,287,0.022593,22
2020-02-01,salary,basic,987,70,0.070922,3
2020-02-01,tellow,basis,111,7,0.063063,10
2020-02-01,zervant,custom,3,0,0.000000,110
2020-02-01,zervant,growth,215,6,0.027907,35
2020-02-01,zervant,merchant,21,1,0.047619,75
2020-02-01,zervant,pro,6026,162,0.026884,15
2020-02-01,zervant,starter,5750,271,0.047130,8
2020-03-01,advisor,advisor,1230,88,0.071545,213
2020-03-01,billy,annual report,187,0,0.000000,18
2020-03-01,billy,subscription,13189,296,0.022443,26
2020-03-01,salary,basic,1027,98,0.095424,4
2020-03-01,tellow,basis,3374,101,0.029935,10
2020-03-01,zervant,custom,3,1,0.333333,110
2020-03-01,zervant,growth,213,16,0.075117,35
2020-03-01,zervant,merchant,20,0,0.000000,75
2020-03-01,zervant,pro,6127,196,0.031990,15
2020-03-01,zervant,starter,5798,291,0.050190,8
2020-04-01,advisor,advisor,1270,94,0.074016,204
2020-04-01,billy,annual report,274,0,0.000000,18
2020-04-01,billy,subscription,13158,258,0.019608,26
2020-04-01,salary,basic,1017,50,0.049164,3
2020-04-01,tellow,basis,4321,129,0.029854,10
2020-04-01,tellow,plus,324,3,0.009259,15
2020-04-01,zervant,custom,2,0,0.000000,110
2020-04-01,zervant,growth,218,7,0.032110,35
2020-04-01,zervant,merchant,22,0,0.000000,75
2020-04-01,zervant,pro,6203,146,0.023537,15
2020-04-01,zervant,starter,5848,190,0.032490,8
2020-05-01,advisor,advisor,1333,84,0.063016,197
2020-05-01,billy,annual report,379,0,0.000000,18
2020-05-01,billy,subscription,13216,214,0.016192,26
2020-05-01,kontist,duo,2734,103,0.037674,12
2020-05-01,kontist,premium,3940,93,0.023604,9
2020-05-01,salary,basic,1122,56,0.049911,3
2020-05-01,tellow,basis,4001,103,0.025744,10
2020-05-01,tellow,plus,391,7,0.017903,15
2020-05-01,zervant,custom,4,0,0.000000,110
2020-05-01,zervant,growth,215,4,0.018605,35
2020-05-01,zervant,merchant,23,2,0.086957,75
2020-05-01,zervant,pro,6389,132,0.020661,15
2020-05-01,zervant,starter,6059,204,0.033669,8
2020-06-01,advisor,advisor,1667,129,0.077385,174
2020-06-01,billy,annual report,467,0,0.000000,18
2020-06-01,billy,subscription,13357,219,0.016396,26
2020-06-01,kontist,duo,2182,60,0.027498,12
2020-06-01,kontist,premium,3141,100,0.031837,9
2020-06-01,salary,basic,1197,91,0.076023,3
2020-06-01,tellow,basis,4192,89,0.021231,10
2020-06-01,tellow,plus,481,14,0.029106,15
2020-06-01,zervant,custom,5,0,0.000000,110
2020-06-01,zervant,growth,219,5,0.022831,35
2020-06-01,zervant,merchant,21,1,0.047619,75
2020-06-01,zervant,pro,6606,122,0.018468,15
2020-06-01,zervant,starter,6314,154,0.024390,8
2020-07-01,advisor,advisor,1682,65,0.038644,150
2020-07-01,billy,annual report,552,0,0.000000,18
2020-07-01,billy,subscription,13472,232,0.017221,26
2020-07-01,kontist,duo,2640,69,0.026136,12
2020-07-01,kontist,premium,3831,87,0.022709,9
2020-07-01,salary,basic,1239,75,0.060533,5
2020-07-01,tellow,basis,4340,91,0.020968,10
2020-07-01,tellow,plus,606,17,0.028053,20
2020-07-01,zervant,custom,5,1,0.200000,110
2020-07-01,zervant,growth,231,4,0.017316,35
2020-07-01,zervant,merchant,20,0,0.000000,75
2020-07-01,zervant,pro,6870,112,0.016303,15
2020-07-01,zervant,starter,6656,153,0.022987,8
2020-08-01,advisor,advisor,1846,70,0.037920,153
2020-08-01,billy,annual report,859,0,0.000000,18
2020-08-01,billy,subscription,13616,290,0.021298,26
2020-08-01,kontist,duo,2743,2710,0.987969,12
2020-08-01,kontist,kontax,224,110,0.491071,86
2020-08-01,kontist,premium,4155,3982,0.958363,9
2020-08-01,salary,basic,1338,91,0.068012,3
2020-08-01,tellow,basis,4322,96,0.022212,10
2020-08-01,tellow,plus,632,15,0.023734,20
2020-08-01,zervant,custom,4,0,0.000000,110
2020-08-01,zervant,growth,236,4,0.016949,35
2020-08-01,zervant,merchant,26,1,0.038462,75
2020-08-01,zervant,pro,7064,119,0.016846,15
2020-08-01,zervant,starter,6847,165,0.024098,8
2020-09-01,advisor,advisor,2088,59,0.028257,156
2020-09-01,billy,annual report,937,0,0.000000,18
2020-09-01,billy,subscription,13477,260,0.019292,26
2020-09-01,kontist,duo,307,27,0.087948,6
2020-09-01,kontist,kontax,160,1,0.006250,96
2020-09-01,kontist,premium,649,42,0.064715,2
2020-09-01,salary,basic,1386,115,0.082973,3
2020-09-01,salary,premium,39,5,0.128205,10
2020-09-01,tellow,basis,4326,111,0.025659,10
2020-09-01,tellow,plus,673,14,0.020802,20
2020-09-01,zervant,custom,4,0,0.000000,110
2020-09-01,zervant,growth,250,17,0.068000,35
2020-09-01,zervant,merchant,22,3,0.136364,75
2020-09-01,zervant,pro,7438,295,0.039661,15
2020-09-01,zervant,starter,7136,293,0.041059,8
2020-10-01,advisor,advisor,2329,88,0.037784,164
2020-10-01,billy,annual report,951,0,0.000000,18
2020-10-01,billy,subscription,13731,216,0.015731,26
2020-10-01,kontist,duo,2812,123,0.043741,12
2020-10-01,kontist,kontax,359,11,0.030641,99
2020-10-01,kontist,premium,4608,159,0.034505,9
2020-10-01,salary,basic,1441,106,0.073560,3
2020-10-01,salary,premium,36,3,0.083333,13
2020-10-01,tellow,basis,4364,140,0.032081,10
2020-10-01,tellow,plus,758,31,0.040897,20
2020-10-01,zervant,custom,4,0,0.000000,110
2020-10-01,zervant,growth,243,7,0.028807,35
2020-10-01,zervant,merchant,19,2,0.105263,75
2020-10-01,zervant,pro,7566,208,0.027491,15
2020-10-01,zervant,starter,7247,230,0.031737,8
2020-11-01,advisor,advisor,2518,86,0.034154,160
2020-11-01,billy,annual report,959,0,0.000000,18
2020-11-01,billy,subscription,13967,240,0.017183,26
2020-11-01,kontist,duo,2939,113,0.038448,12
2020-11-01,kontist,kontax,454,17,0.037445,99
2020-11-01,kontist,premium,4869,134,0.027521,9
2020-11-01,salary,basic,1486,84,0.056528,4
2020-11-01,salary,premium,55,4,0.072727,10
2020-11-01,tellow,basis,4246,88,0.020725,10
2020-11-01,tellow,plus,763,16,0.020970,20
2020-11-01,zervant,custom,4,0,0.000000,110
2020-11-01,zervant,growth,266,6,0.022556,35
2020-11-01,zervant,merchant,21,0,0.000000,75
2020-11-01,zervant,pro,7896,162,0.020517,15
2020-11-01,zervant,starter,7497,138,0.018407,8
2020-12-01,advisor,advisor,2570,64,0.024903,158
2020-12-01,billy,annual report,1079,0,0.000000,18
2020-12-01,billy,subscription,14030,273,0.019458,26
2020-12-01,kontist,duo,3168,330,0.104167,12
2020-12-01,kontist,kontax,555,10,0.018018,99
2020-12-01,kontist,premium,5215,553,0.106040,9
2020-12-01,salary,basic,1657,187,0.112855,3
2020-12-01,salary,premium,61,4,0.065574,10
2020-12-01,tellow,basis,4286,160,0.037331,10
2020-12-01,tellow,plus,861,25,0.029036,20
2020-12-01,zervant,custom,4,0,0.000000,110
2020-12-01,zervant,growth,260,8,0.030769,38
2020-12-01,zervant,merchant,19,2,0.105263,82
2020-12-01,zervant,pro,9444,411,0.043520,16
2020-12-01,zervant,starter,9086,268,0.029496,9
2021-01-01,advisor,advisor,2709,81,0.029900,158
2021-01-01,billy,annual report,1380,0,0.000000,18
2021-01-01,billy,subscription,14670,293,0.019973,26
2021-01-01,kontist,duo,3154,187,0.059290,12
2021-01-01,kontist,kontax,544,27,0.049632,99
2021-01-01,kontist,premium,5195,221,0.042541,9
2021-01-01,salary,basic,1717,134,0.078043,3
2021-01-01,salary,premium,57,6,0.105263,10
2021-01-01,tellow,basis,4123,140,0.033956,10
2021-01-01,tellow,plus,961,33,0.034339,20
2021-01-01,zervant,custom,4,0,0.000000,110
2021-01-01,zervant,growth,261,3,0.011494,38
2021-01-01,zervant,merchant,21,2,0.095238,82
2021-01-01,zervant,pro,10006,222,0.022187,16
2021-01-01,zervant,starter,9315,234,0.025121,8
2021-02-01,advisor,advisor,2797,74,0.026457,158
2021-02-01,billy,annual report,1623,0,0.000000,18
2021-02-01,billy,subscription,14752,466,0.031589,26
2021-02-01,kontist,duo,3241,135,0.041654,12
2021-02-01,kontist,kontax,531,8,0.015066,99
2021-02-01,kontist,premium,5380,149,0.027695,9
2021-02-01,salary,basic,1833,122,0.066558,4
2021-02-01,salary,premium,66,1,0.015152,10
2021-02-01,tellow,basis,3997,85,0.021266,10
2021-02-01,tellow,plus,997,27,0.027081,20
2021-02-01,zervant,custom,4,0,0.000000,110
2021-02-01,zervant,growth,272,5,0.018382,38
2021-02-01,zervant,merchant,15,0,0.000000,82
2021-02-01,zervant,pro,10402,169,0.016247,16
2021-02-01,zervant,starter,9407,208,0.022111,8
2021-03-01,advisor,advisor,2992,63,0.021056,157
2021-03-01,billy,annual report,1705,0,0.000000,18
2021-03-01,billy,subscription,14610,279,0.019097,26
2021-03-01,kontist,duo,3437,159,0.046261,12
2021-03-01,kontist,kontax,561,17,0.030303,99
2021-03-01,kontist,premium,5804,163,0.028084,9
2021-03-01,salary,basic,1964,143,0.072811,3
2021-03-01,salary,premium,73,6,0.082192,10
2021-03-01,tellow,basis,3994,121,0.030295,10
2021-03-01,tellow,compleet,25,1,0.040000,25
2021-03-01,tellow,plus,1070,28,0.026168,20
2021-03-01,zervant,custom,4,1,0.250000,110
2021-03-01,zervant,growth,286,13,0.045455,38
2021-03-01,zervant,merchant,20,2,0.100000,82
2021-03-01,zervant,pro,10902,184,0.016878,16
2021-03-01,zervant,starter,9900,245,0.024747,8
2021-04-01,advisor,advisor,3088,52,0.016839,157
2021-04-01,billy,annual report,1687,0,0.000000,18
2021-04-01,billy,subscription,14739,690,0.046815,26
2021-04-01,kontist,duo,3542,140,0.039526,12
2021-04-01,kontist,kontax,613,14,0.022838,99
2021-04-01,kontist,premium,6170,153,0.024797,9
2021-04-01,salary,basic,2049,122,0.059541,4
2021-04-01,salary,premium,80,2,0.025000,10
2021-04-01,tellow,basis,3979,123,0.030912,10
2021-04-01,tellow,compleet,266,6,0.022556,37
2021-04-01,tellow,plus,1126,39,0.034636,20
2021-04-01,zervant,custom,3,0,0.000000,110
2021-04-01,zervant,growth,292,11,0.037671,38
2021-04-01,zervant,merchant,18,0,0.000000,82
2021-04-01,zervant,pro,11295,185,0.016379,16
2021-04-01,zervant,starter,10210,212,0.020764,8
2021-05-01,advisor,advisor,3186,96,0.030132,156
2021-05-01,billy,annual report,1671,0,0.000000,18
2021-05-01,billy,subscription,14243,238,0.016710,26
2021-05-01,kontist,duo,3635,135,0.037139,12
2021-05-01,kontist,kontax,639,12,0.018779,99
2021-05-01,kontist,premium,6470,170,0.026275,9
2021-05-01,salary,basic,2213,140,0.063263,4
2021-05-01,salary,premium,96,2,0.020833,10
2021-05-01,tellow,basis,3787,100,0.026406,10
2021-05-01,tellow,compleet,153,1,0.006536,50
2021-05-01,tellow,plus,1067,28,0.026242,20
2021-05-01,zervant,custom,5,1,0.200000,110
2021-05-01,zervant,growth,299,8,0.026756,38
2021-05-01,zervant,merchant,23,0,0.000000,82
2021-05-01,zervant,pro,11641,191,0.016408,16
2021-05-01,zervant,starter,10499,235,0.022383,8
2021-06-01,advisor,advisor,3182,100,0.031427,156
2021-06-01,billy,annual report,1707,0,0.000000,18
2021-06-01,billy,subscription,14855,226,0.015214,26
2021-06-01,kontist,duo,3721,117,0.031443,12
2021-06-01,kontist,kontax,688,11,0.015988,99
2021-06-01,kontist,premium,6701,141,0.021042,9
2021-06-01,salary,basic,2356,174,0.073854,3
2021-06-01,salary,premium,111,6,0.054054,10
2021-06-01,tellow,basis,3771,78,0.020684,10
2021-06-01,tellow,compleet,172,1,0.005814,50
2021-06-01,tellow,plus,1103,26,0.023572,20
2021-06-01,zervant,custom,5,0,0.000000,110
2021-06-01,zervant,growth,319,10,0.031348,38
2021-06-01,zervant,merchant,24,1,0.041667,82
2021-06-01,zervant,pro,12019,204,0.016973,16
2021-06-01,zervant,starter,10868,237,0.021807,8
2021-07-01,advisor,advisor,3246,96,0.029575,157
2021-07-01,billy,annual report,1678,0,0.000000,18
2021-07-01,billy,subscription,14933,250,0.016741,26
2021-07-01,kontist,accounting,2,0,0.000000,0
2021-07-01,kontist,duo,3812,144,0.037775,12
2021-07-01,kontist,kontax,770,14,0.018182,99
2021-07-01,kontist,premium,6918,161,0.023273,9
2021-07-01,salary,basic,2441,161,0.065957,4
2021-07-01,salary,premium,132,2,0.015152,10
2021-07-01,tellow,basis,3783,82,0.021676,10
2021-07-01,tellow,compleet,229,4,0.017467,50
2021-07-01,tellow,plus,1139,34,0.029851,20
2021-07-01,zervant,custom,2,0,0.000000,133
2021-07-01,zervant,growth,315,7,0.022222,38
2021-07-01,zervant,merchant,23,0,0.000000,82
2021-07-01,zervant,pro,12320,214,0.017370,16
2021-07-01,zervant,starter,11134,261,0.023442,8
2021-08-01,advisor,advisor,3197,145,0.045355,158
2021-08-01,billy,annual report,1438,0,0.000000,18
2021-08-01,billy,subscription,15043,257,0.017084,26
2021-08-01,kontist,accounting,14,1,0.071429,39
2021-08-01,kontist,duo,3843,95,0.024720,12
2021-08-01,kontist,kontax,855,10,0.011696,99
2021-08-01,kontist,premium,7111,154,0.021657,9
2021-08-01,salary,basic,2480,163,0.065726,4
2021-08-01,salary,premium,130,11,0.084615,10
2021-08-01,tellow,basis,3724,82,0.022019,10
2021-08-01,tellow,compleet,241,3,0.012448,50
2021-08-01,tellow,plus,1139,24,0.021071,20
2021-08-01,zervant,custom,3,0,0.000000,155
2021-08-01,zervant,growth,330,10,0.030303,38
2021-08-01,zervant,merchant,26,1,0.038462,82
2021-08-01,zervant,pro,12556,224,0.017840,16
2021-08-01,zervant,starter,11292,252,0.022317,8
2021-09-01,advisor,advisor,3264,88,0.026961,158
2021-09-01,billy,annual report,1411,0,0.000000,18
2021-09-01,billy,subscription,15221,281,0.018461,26
2021-09-01,kontist,accounting,43,3,0.069767,39
2021-09-01,kontist,duo,4466,169,0.037841,12
2021-09-01,kontist,kontax,1009,21,0.020813,99
2021-09-01,kontist,premium,8217,201,0.024461,9
2021-09-01,salary,basic,2670,180,0.067416,4
2021-09-01,salary,premium,137,5,0.036496,10
2021-09-01,tellow,basis,3706,86,0.023206,10
2021-09-01,tellow,compleet,284,7,0.024648,50
2021-09-01,tellow,plus,1184,49,0.041385,20
2021-09-01,zervant,custom,4,0,0.000000,155
2021-09-01,zervant,growth,333,14,0.042042,38
2021-09-01,zervant,merchant,24,1,0.041667,82
2021-09-01,zervant,pro,12904,235,0.018211,16
2021-09-01,zervant,starter,11643,266,0.022846,8
2021-10-01,advisor,advisor,3632,171,0.047081,156
2021-10-01,billy,annual report,1393,0,0.000000,18
2021-10-01,billy,subscription,15173,271,0.017861,26
2021-10-01,kontist,accounting,72,1,0.013889,39
2021-10-01,kontist,duo,4268,137,0.032099,12
2021-10-01,kontist,kontax,993,15,0.015106,99
2021-10-01,kontist,premium,7968,169,0.021210,9
2021-10-01,salary,basic,2893,189,0.065330,4
2021-10-01,salary,premium,156,14,0.089744,5
2021-10-01,tellow,basis,3681,103,0.027982,10
2021-10-01,tellow,compleet,301,5,0.016611,50
2021-10-01,tellow,plus,1192,40,0.033557,20
2021-10-01,zervant,custom,5,0,0.000000,155
2021-10-01,zervant,growth,337,4,0.011869,38
2021-10-01,zervant,merchant,22,1,0.045455,82
2021-10-01,zervant,pro,13346,265,0.019856,16
2021-10-01,zervant,starter,12012,261,0.021728,8
2021-11-01,advisor,advisor,3460,99,0.028613,166
2021-11-01,billy,annual report,1402,0,0.000000,18
2021-11-01,billy,subscription,15236,247,0.016212,26
2021-11-01,kontist,accounting,102,7,0.068627,39
2021-11-01,kontist,duo,4271,174,0.040740,12
2021-11-01,kontist,kontax,1073,22,0.020503,99
2021-11-01,kontist,premium,8036,202,0.025137,9
2021-11-01,salary,basic,3019,216,0.071547,3
2021-11-01,salary,premium,181,22,0.121547,5
2021-11-01,tellow,basis,3666,87,0.023732,10
2021-11-01,tellow,compleet,313,4,0.012780,50
2021-11-01,tellow,plus,1201,28,0.023314,20
